S.No,Name of BC,Contact Number,Gender,Bank Name,State,District ,Office Name,Pincode,Corporate BC name,ODOP product,CODE WORD OF PRODUCT LIST,CROP2 NAME,CROP2 SEASON,CROP1 AREA,CROP1 PRODUCTION,CROP1 Pincode,CROP1 NAME,SEASON,CROP AREA,CROP PRODUCTION,CROP3 NAME,SEASON,CROP AREA,CROP PRODUCTION
87,Chandan Kumar Roy,8138971249,female,Bank of Maharashtra,Gujarat,BHARUCH,Bharthana BO,392210,Dhanvarsha Finvest Limited,"Sujani (Handloom),Chemicals (Chemicals, Agro Chemicals, Pesticide, Pharmaceutical, API)",Bharuch%Gujarat,Maize,Rabi,Rabi,47347,392210,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
88,Priyanshu Shrivastav,6138106422,male,Canara Bank,Gujarat,AHMEDABAD,Bakrol BO,382210,Dhosa Chandeneswar Bratyajana Samity,"Garment & Apparel,Gamthi Block print/ Saudagiri Block Print,Terracotta,Mata ni Pachedi",Ahmedabad%Gujarat,Maize,Rabi,Rabi,47347,382210,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
89,Akhilesh Kumar Singh,3347189358,male,Central Bank of India,Uttar Pradesh,JAUNPUR,Barpur BO,222109,Digicard Services  Pvt Ltd,Woollen Carpets (Dari),Jaunpur%Uttar Pradesh,Wheat,Rabi,Rabi,405486,222109,Masoor,Rabi,148,85,Wheat,Rabi,90522,224042
90,Ambujesh Kumar Pandey,5106733339,male,Indian Bank,Uttar Pradesh,JAUNPUR,Auraila BO,222105,DIGIPAY CSP PRIVATE LIMITED,Woollen Carpets (Dari),Jaunpur%Uttar Pradesh,Wheat,Rabi,Rabi,405486,222105,Masoor,Rabi,148,85,Wheat,Rabi,90522,224042
91,Narender Singh,2436860165,male,Indian Overseas Bank,Uttar Pradesh,JAUNPUR,Latifpur BO,222101,Digital India,Woollen Carpets (Dari),Jaunpur%Uttar Pradesh,Wheat,Rabi,Rabi,405486,222101,Masoor,Rabi,148,85,Wheat,Rabi,90522,224042
92,Akhilesh Kumar Ojha,2383888534,female,Punjab and Sind Bank,Uttar Pradesh,CHANDAULI,Kustha Sewa Ashram SO,221012,DIGIVRIDDHI TECHNOLOGIES PRIVATE LIMITED,"Zari-Zardozi,Black Rice",Chandauli%Uttar Pradesh,Rice,Kharif,Kharif,303793,221012,Sesamum,Kharif,2,1,Garlic,Rabi,2,12
93,Mohammad Shad,5103236625,male,Punjab National Bank,Uttar Pradesh,VARANASI,Bachhaon BO,221011,DIKSHU INDIA COMMUNICATIONS PVT LTD,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,Rabi,127010,221011,Rice,Summer,4005,,Wheat,Rabi,90522,224042
94,Sudhanshu Dwivedi,9698136896,female,State Bank of India,Uttar Pradesh,VARANASI,Aurangabad SO Varanasi,221010,Disha India Microcredit,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,Rabi,127010,221010,Rice,Summer,4005,,Wheat,Rabi,90522,224042
95,Nikhil Singh Parmar,5372788578,female,UCO Bank,Uttar Pradesh,CHANDAULI,Sahupuri SO,221009,Drishtee Development and Communication Ltd.,"Zari-Zardozi,Black Rice",Chandauli%Uttar Pradesh,Rice,Kharif,Kharif,303793,221009,Sesamum,Kharif,2,1,Garlic,Rabi,2,12
96,Siddharth Gupta,3281180133,male,Union Bank of India,Uttar Pradesh,VARANASI,Kateshar BO,221008,DRU Gold Private Limited,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,Rabi,127010,221008,Rice,Summer,4005,,Wheat,Rabi,90522,224042
97,Abhay Kumar Soni,9355990303,male,Axis Bank,Uttar Pradesh,VARANASI,Ashapur BO,221007,DVARA KSHETRIYA GRAMIN FINANCIAL SERVICES PVT,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,Rabi,127010,221007,Rice,Summer,4005,,Wheat,Rabi,90522,224042
98,Roshani Kumari,6385340233,female,Bandhan Bank,Uttar Pradesh,VARANASI,Babatpur Ad SO,221006,E-GRAMIN SERVICES PVT LTD,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,Rabi,127010,221006,Rice,Summer,4005,,Wheat,Rabi,90522,224042
99,Mudit Kumar Sharma,9513241704,female,CSB Bank,Uttar Pradesh,VARANASI,Assi SO,221005,Earth More Private Limited,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,Rabi,127010,221005,Rice,Summer,4005,,Wheat,Rabi,90522,224042
100,Shashi Kant Azad,4955278033,female,City Union Bank,Uttar Pradesh,VARANASI,DLW SO,221004,Easy Homes Finance Limited,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,Rabi,127010,221004,Rice,Summer,4005,,Wheat,Rabi,90522,224042
101,Ashwini Kumar,5680997579,female,DCB Bank,Uttar Pradesh,VARANASI,Chamaon BO,221003,EASY PAY PVT  LTD.,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,Rabi,127010,221003,Rice,Summer,4005,,Wheat,Rabi,90522,224042
102,Radhe Shyam Jaiswal,1224788195,male,Dhanlaxmi Bank,Uttar Pradesh,VARANASI,39 Gtd SO,221002,Ecartes Technology Pvt.Ltd.,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,Rabi,127010,221002,Rice,Summer,4005,,Wheat,Rabi,90522,224042
103,Abhay Chaubey,4573820505,female,Federal Bank,Uttar Pradesh,VARANASI,Bengalitola SO,221001,EDUCATE SKILL AND WORK INDIA,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,Rabi,127010,221001,Rice,Summer,4005,,Wheat,Rabi,90522,224042
104,Gaurav Umar Vaishya,9665132253,female,Jammu & Kashmir Bank,Jammu and Kashmir,ANANTHNAG,Dialgam,192210,EKO INDIA FINANCIAL SERVICES PRIVATE LIMITED,Trout Fish,Anantnag%Jammu & Kashmir,Rice,Kharif,Kharif,19403,192210,Maize,Kharif,11761,13768,Dry chillies,Kharif,113,17.8
105,Ajay Raj,3139018224,female,ICICI Bank,Odisha,KANDHAMAL,Arapaju B.O,762012,eKOSH FINANCIAL SERVICES PVT LTD,Turmeric,Kandhamal%Odisha,Rice,Winter,Winter,73000,762012,Rice,Summer,4005,,Wheat,Rabi,90522,224042
106,Prince Kumar Singh,9985710543,male,IndusInd Bank,Odisha,PURI,Alasana B.O,752012,EQUITY CAPITAL ADVISORS (INDIA) PRIVATE LIMITED,"Handicrafts- Pattachitra,Marine Products",Puri%Odisha,Rice,Winter,Winter,182000,752012,Rice,Summer,4005,,Wheat,Rabi,90522,224042
107,Damini,1642614565,male,South Indian Bank,Kerala,ERNAKULAM,Pachalam SO,682012,ESAF Swasraya Multi-State Agro co-operative Society,Oleo Raisins,Ernakulam%Kerala,Coconut,Whole Year,Whole Year,212000000,682012,Rice,Summer,4005,,Wheat,Rabi,90522,224042
108,Nitish Kumar Tripathi,8858425625,female,Tamilnad Mercantile Bank,Tamil Nadu,VELLORE,Saidapet S.O (Vellore),632012,EVER GREEN FORUM,Leather Products,Vellore%Tamil Nadu,Rice,Rabi,Rabi,15516,632012,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
109,Rahul Srivastava,3984384139,male,Kotak Mahindra Bank,Chattisgarh,RAIPUR,Krishak Nagar SO,492012,EVERGREEN DEVELOPMENT SOCIETY AND LIBRARY,Papaya Based Product,Raipur%Chhattisgarh,Rice,Kharif,Kharif,376312,492012,Potato,Rabi,71,616,Wheat,Rabi,90522,224042
110,Deepa Sharma,2314812488,female,IDBI Bank,Madhya Pradesh,INDORE,Rajendra Nagar S.O (Indore),452012,Evergreen Proserv,Potato,Indore%Madhya Pradesh,Rice,Rabi,Rabi,15516,452012,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
111,Ankitesh Kumar,8275955810,female,RBL Bank,Maharashtra,NASHIK,Ashok Nagar S.O (Nashik),422012,Exclusive Leasing and Finance Pvt.Ltd.,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,Kharif,108900,422012,Safflower,Rabi,100,100,Groundnut,Summer,100,200
112,Pankhuri Agarwal,8391148467,male,YES Bank,Gujarat,BHARUCH,Amleshwar BO,392012,FAB N MORE,"Sujani (Handloom),Chemicals (Chemicals, Agro Chemicals, Pesticide, Pharmaceutical, API)",Bharuch%Gujarat,Maize,Rabi,Rabi,47347,392012,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
113,Nikhil Kumar Dwivedi,8613650178,female,Bank of Baroda,Rajasthan,JODHPUR,Boranada SO,342012,FABLE O ENTERPRISES,Furniture - Handicraft Products,Jodhpur%Rajasthan,Rice,Rabi,Rabi,15516,342012,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
114,Shailendra Kumar,6768255572,male,Bank of India,Rajasthan,JAIPUR,Hathoj B.O,302012,FAIRLANDS TECHNOLOGY SERVICES PRIVATE LIMITED,"Pottery - Blue,Gems & Jewllery,Block Printing Items",Jaipur%Rajasthan,Rice,Rabi,Rabi,15516,302012,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
115,Mohd. Asim Alam,7147035302,male,Bank of Maharashtra,Uttar Pradesh,GHAZIABAD,Abupur BO,201206,FENEXA TECHNOLOGY PRIVATE LIMITED,Engineering goods,Ghaziabad%Uttar Pradesh,Wheat,Rabi,Rabi,86645,201206,Masoor,Rabi,17,9,Wheat,Rabi,90522,224042
116,Richa Singh,8676951097,male,Canara Bank,Uttar Pradesh,GHAZIABAD,Begmabad BO,201204,FIA Technology Services Pvt. Ltd,Engineering goods,Ghaziabad%Uttar Pradesh,Wheat,Rabi,Rabi,86645,201204,Masoor,Rabi,17,9,Wheat,Rabi,90522,224042
117,Anupam Kumar Jha,5589184781,female,Central Bank of India,Uttar Pradesh,GHAZIABAD,Churiyala BO,201201,Financial Software and Systems Pvt Ltd,Engineering goods,Ghaziabad%Uttar Pradesh,Wheat,Rabi,Rabi,86645,201201,Masoor,Rabi,17,9,Wheat,Rabi,90522,224042
118,Ramu Gupta,4902649234,female,Indian Bank,West Bengal,BANKURA,Chandra BO,722132,FINMAP Solutions Private Limited,"Terracota,Dokra,Baluchari",Bankura%West Bengal,Rice,Winter,Winter,794716,722132,Peas & beans (Pulses),Rabi,60,73,Wheat,Rabi,90522,224042
119,Pushpanjali Kumari,4536836823,male,Karnataka Bank,Karnataka,TUMAKURU,Ankalakoppa B.O,572213,Finnable Technologies Pvt. Ltd. & Finnable Credit Pvt. Ltd.,"Machine Tool,Coir based Industries",Tumakuru%Karnataka,Rice,Rabi,Rabi,15516,572213,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
120,Nitya Nand Pathak,3222046823,male,South Indian Bank,Andhra Pradesh,SRIKAKULAM,Labara B.O,532213,FINO Payment Bank,"Ponduru Cotton Sarees,Budithi Bell & Brass Metal Craft,Ponduru Dhoti & Shirtings,Jute Works,Cashew Kernels",Srikakulam%Andhra Pradesh,Rice,Whole Year,Whole Year,447672,532213,Rice,Summer,4005,,Wheat,Rabi,90522,224042
121,Md.Jalal .,8328608361,male,South Indian Bank,Andhra Pradesh,Guntur,Anamarlapudi B.O,522213,Finserin Online Services Private Limited,"Chillies,Bronze Casting,Mangalagiri sarees and Fabric",Guntur%Andhra Pradesh,Rice,Whole Year,Whole Year,1111932,522213,Rice,Summer,4005,,Wheat,Rabi,90522,224042
122,Ambalika Dwivedi,7850683223,male,State Bank of India,Maharashtra,NASHIK,Anjneri B.O,422213,Finsigma Inclusive Services Pvt Ltd,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,Kharif,108900,422213,Safflower,Rabi,100,100,Groundnut,Summer,100,200
123,Priyanka Verma,1900127197,female,UCO Bank,Maharashtra,PUNE,Ambavane B.O,412213,FOUR LEAF CLOVER AGRO PRIVATE LIMITED,"Engineering Goods,Frozen Food",Pune%Maharashtra,Jowar,Rabi,Rabi,131700,412213,Sesamum,Rabi,100,0,Wheat,Rabi,90522,224042
124,Rama Sundari Ayalasomiajula,9187449840,female,Union Bank of India,Gujarat,AHMEDABAD,Changodar SO,382213,Fourth Dimension Solutions Limited,"Garment & Apparel,Gamthi Block print/ Saudagiri Block Print,Terracotta,Mata ni Pachedi",Ahmedabad%Gujarat,Maize,Rabi,Rabi,47347,382213,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
125,Harkesh Yadav,1826789440,male,Axis Bank,Rajasthan,KARAULI,Chainpura BO,322213,G U FINANCIAL SERVICES PRIVATE LIMITED,"Sandstone articles,Silica and Silica Sand",Karauli%Rajasthan,Rice,Rabi,Rabi,15516,322213,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
126,Sumit Chhabra,5019056777,male,Bandhan Bank,Uttar Pradesh,JAUNPUR,Arand BO,222139,GANPATI FINANCIAL SERVICES,Woollen Carpets (Dari),Jaunpur%Uttar Pradesh,Wheat,Rabi,Rabi,405486,222139,Masoor,Rabi,148,85,Wheat,Rabi,90522,224042
127,Ashwani Kumar Singh,9331547805,female,CSB Bank,Uttar Pradesh,JAUNPUR,Gopipur BO,222138,Genesis Academy of Banking and Finance Education Trust,Woollen Carpets (Dari),Jaunpur%Uttar Pradesh,Wheat,Rabi,Rabi,405486,222138,Masoor,Rabi,148,85,Wheat,Rabi,90522,224042
128,Chetna Gajanan Bokde,8868376617,female,City Union Bank,Bihar,ROHTAS,Akorha BO,802213,GEOSANSAR ADIVSORS PRIVATE LIMITED,"Menthol,Sonachud Rice,Tomato",Rohtas%Bihar,Rice,Winter,Winter,820981,802213,Rice,Summer,4005,,Wheat,Rabi,90522,224042
129,Subhash Kumar Yadav,2224656401,male,DCB Bank,West Bengal,MURSHIDABAD,Barasimul BO,742213,GIONEX TECHNOLOGIES PRIVATE LIMITED,"Murshidabad Silk Saree/Scarf,Mango and its processed products",Murshidabad%West Bengal,Rice,Winter,Winter,686341,742213,Rice,Summer,4005,,Wheat,Rabi,90522,224042
130,Sarvjeet Upadhyay,8271289926,female,Dhanlaxmi Bank,West Bengal,BANKURA,Baidyalokhesole BO,722139,Global Vikas Trust,"Terracota,Dokra,Baluchari",Bankura%West Bengal,Rice,Winter,Winter,794716,722139,Peas & beans (Pulses),Rabi,60,73,Wheat,Rabi,90522,224042
131,Deepank Saini,2053415144,male,Federal Bank,West Bengal,BANKURA,Ayma BO,722138,Go Processing Limited,"Terracota,Dokra,Baluchari",Bankura%West Bengal,Rice,Winter,Winter,794716,722138,Peas & beans (Pulses),Rabi,60,73,Wheat,Rabi,90522,224042
132,Ranvijay Singh,7636505545,male,HDFC Bank,West Bengal,BANKURA,Alijhara BO,722137,GODDARD technical solutions,"Terracota,Dokra,Baluchari",Bankura%West Bengal,Rice,Winter,Winter,794716,722137,Peas & beans (Pulses),Rabi,60,73,Wheat,Rabi,90522,224042
133,Jay Shankar Shukla,8296296988,male,ICICI Bank,West Bengal,BANKURA,Bagdiha BO,722136,GOPALGANJ PIONEER WELFARE SOCIETY,"Terracota,Dokra,Baluchari",Bankura%West Bengal,Rice,Winter,Winter,794716,722136,Peas & beans (Pulses),Rabi,60,73,Wheat,Rabi,90522,224042
134,Vinay Srivastava,6081277812,male,IndusInd Bank,Bihar,BEGUSARAI,Ballia Bazar BO,851211,Gram Tarang Inclusive Development Services Pvt Ltd.,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,Rabi,64159,851211,Rice,Summer,4005,,Wheat,Rabi,90522,224042
135,Harvinder Singh,6620381050,male,IDFC FIRST Bank,Bihar,BEGUSARAI,Mahna SO,851210,Grameen Development & Finance Pvt. Ltd,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,Rabi,64159,851210,Rice,Summer,4005,,Wheat,Rabi,90522,224042
136,Nirbhay Kumar,3501132530,female,Karur Vysya Bank,Bihar,Khagaria,Alauli S.O,851206,GRAMEEN SHAKTI MICROFINANCE SERVICES PVT. LTD.,"Banana,Bamboo Art,Maize",Khagaria%Bihar,Maize,Rabi,Rabi,119465,851206,Rice,Summer,4005,,Wheat,Rabi,90522,224042
137,Noor Saba,3695385649,female,Kotak Mahindra Bank,Bihar,MADHUBANI,Awari BO,847308,Green Malabar Finance Ventures Limited,"Madhubhani Painting,Sikki Painting,Makhana",Madhubani%Bihar,Rice,Winter,Winter,188450,847308,Rice,Summer,4005,,Wheat,Rabi,90522,224042
138,Anuradha Srivastava,8973068880,male,IDBI Bank,Bihar,DARBHANGA,Brahampur Sotia BO,847307,GRG ATM PVT LTD,"Makhana,Madhubhani Paintings,Terracotta",Darbhanga%Bihar,Wheat,Rabi,Rabi,89175,847307,Rice,Summer,4005,,Wheat,Rabi,90522,224042
139,Himanshu Srivastava,7853246106,female,RBL Bank,Gujarat,AHMEDABAD,Krishnanagar SO Ahmedabad,382345,Gujarat Infotech Limited,"Garment & Apparel,Gamthi Block print/ Saudagiri Block Print,Terracotta,Mata ni Pachedi",Ahmedabad%Gujarat,Maize,Rabi,Rabi,47347,382345,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
140,Mukund Yadav,1249691856,female,South Indian Bank,Telangana,SANGAREDDY,Ananthavaram B.O,502345,HARISH PALIWAL,Engineering Products,Sangareddy%Telangana,Rice,Rabi,Rabi,15516,502345,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
141,Anuj Srivastava,7629746202,female,Bank of Baroda,Uttar Pradesh,MAINPURI,Aghar BO,205262,Hermes I Tickets Pvt Ltd,Tarkashi Art,Mainpuri%Uttar Pradesh,Wheat,Rabi,Rabi,349312,205262,Rice,Summer,4005,,Wheat,Rabi,90522,224042
142,Ajay Aeron,1284343630,female,Bank of India,Uttar Pradesh,FATEHPUR,Ainjhi BO,212620,Humana Financial Services Private Limited,"Bedsheets,Iron Fabrication Work",Fatehpur%Uttar Pradesh,Wheat,Rabi,Rabi,341436,212620,Rice,Summer,4005,,Wheat,Rabi,90522,224042
143,Amit Srivastav,8828694322,male,Bank of Maharashtra,Uttar Pradesh,FATEHPUR,Budhramau BO,212621,I Money Wallet Private Limited,"Bedsheets,Iron Fabrication Work",Fatehpur%Uttar Pradesh,Wheat,Rabi,Rabi,341436,212621,Rice,Summer,4005,,Wheat,Rabi,90522,224042
144,Monika Ram Hriday Yadav,3654961831,female,Canara Bank,Uttar Pradesh,FATEHPUR,Aurai BO,212622,ICICI Merchant Services Pvt Ltd.,"Bedsheets,Iron Fabrication Work",Fatehpur%Uttar Pradesh,Wheat,Rabi,Rabi,341436,212622,Rice,Summer,4005,,Wheat,Rabi,90522,224042
145,Rakesh Kumar Kanojiya,5310468830,female,Central Bank of India,Uttar Pradesh,LUCKNOW,ASTI BO,226201,IDFC FIRST Bharat Limited,Chikankari & Zari Zardozi,Lucknow%Uttar Pradesh,Wheat,Rabi,Rabi,144512,226201,Rice,Summer,4005,,Wheat,Rabi,90522,224042
146,Shivangi Dubey,9817062807,female,Indian Bank,Uttar Pradesh,LUCKNOW,FFTC INDAURABAGH SO,226202,IFMR Rural Channels and Services Pvt Ltd,Chikankari & Zari Zardozi,Lucknow%Uttar Pradesh,Wheat,Rabi,Rabi,144512,226202,Rice,Summer,4005,,Wheat,Rabi,90522,224042
147,Navaneet Kumar Singh,4726656922,female,Indian Overseas Bank,Uttar Pradesh,KHERI,Abhayapur BO,262724,INDE PAY NETWORKS PVT LTD,"Tribal craft,Jaggery Products",Lakhimpur Kheri%Uttar Pradesh,Sugarcane,Kharif,Kharif,17757963,262724,Banana,Summer,67,3023,Wheat,Rabi,90522,224042
148,Gurucharan Pradhan,4368447847,female,Punjab and Sind Bank,Uttar Pradesh,KHERI,Banika BO,262725,INDER MONEY SERVICES PRIVATE LIMITED,"Tribal craft,Jaggery Products",Lakhimpur Kheri%Uttar Pradesh,Sugarcane,Kharif,Kharif,17757963,262725,Banana,Summer,67,3023,Wheat,Rabi,90522,224042
149,Shivam Sundram,6307368090,female,Punjab National Bank,Uttar Pradesh,KHERI,Badagaon BO,262726,India Post Payments Bank,"Tribal craft,Jaggery Products",Lakhimpur Kheri%Uttar Pradesh,Sugarcane,Kharif,Kharif,17757963,262726,Banana,Summer,67,3023,Wheat,Rabi,90522,224042
150,Shruti Sharma,2349632489,female,State Bank of India,Uttar Pradesh,KHERI,Abgawan BO,262727,Indian Rural Area Implementation Services Private Limited,"Tribal craft,Jaggery Products",Lakhimpur Kheri%Uttar Pradesh,Sugarcane,Kharif,Kharif,17757963,262727,Banana,Summer,67,3023,Wheat,Rabi,90522,224042
151,Kunal Singh,2251211606,male,UCO Bank,Uttar Pradesh,KHERI,Atkohana BO,262728,Individual BC,"Tribal craft,Jaggery Products",Lakhimpur Kheri%Uttar Pradesh,Sugarcane,Kharif,Kharif,17757963,262728,Banana,Summer,67,3023,Wheat,Rabi,90522,224042
152,Rakesh Kumar Gautam,7721232124,female,Union Bank of India,Uttar Pradesh,KHERI,Bankey Ganj SO,262801,INITIATIVES FOR DEVELOPMENT FOUNDAT,"Tribal craft,Jaggery Products",Lakhimpur Kheri%Uttar Pradesh,Sugarcane,Kharif,Kharif,17757963,262801,Banana,Summer,67,3023,Wheat,Rabi,90522,224042
153,Vineet Kumar Chaubey,1697361983,male,Axis Bank,Uttar Pradesh,KHERI,Ahemad Nagar BO,262802,InstantGlobalPaytechPrivateLimited,"Tribal craft,Jaggery Products",Lakhimpur Kheri%Uttar Pradesh,Sugarcane,Kharif,Kharif,17757963,262802,Banana,Summer,67,3023,Wheat,Rabi,90522,224042
154,Devender Yadav,4983915796,male,Bandhan Bank,Gujarat,AMRELI,Bordi BO,365640,INTERACT SOCIAL DEVELOPMENT FOUNDATION,"Ground nut/Peanut,Beadwork",Amreli%Gujarat,Maize,Rabi,Rabi,47347,365640,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
155,Neha Gajanan Raut,6340766036,female,CSB Bank,Gujarat,AMRELI,Bhader SO,365645,IPS E-Services Pvt Ltd,"Ground nut/Peanut,Beadwork",Amreli%Gujarat,Maize,Rabi,Rabi,47347,365645,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
156,Akash Deep Singh,6336683305,female,City Union Bank,Maharashtra,RATNAGIRI,Chinchavali B.O,415640,IRIX Technology Pvt Ltd,"Alphonso Mangoes,Marine Produce",Ratnagiri%Maharashtra,Rice,Kharif,Kharif,220500,415640,Niger seed,Kharif,100,0,Wheat,Rabi,90522,224042
157,Jitendra Kumar Gupta,4154212249,male,DCB Bank,Maharashtra,RATNAGIRI,Ambitgaon B.O,415641,iServeU,"Alphonso Mangoes,Marine Produce",Ratnagiri%Maharashtra,Rice,Kharif,Kharif,220500,415641,Niger seed,Kharif,100,0,Wheat,Rabi,90522,224042
158,Mores Jayanti,1207680756,female,Dhanlaxmi Bank,Maharashtra,RATNAGIRI,Argaon B.O,415643,ISERVEU TECHNOLOGY PVT LTD,"Alphonso Mangoes,Marine Produce",Ratnagiri%Maharashtra,Rice,Kharif,Kharif,220500,415643,Niger seed,Kharif,100,0,Wheat,Rabi,90522,224042
159,Suneeta Jalal,1653098283,male,CSB Bank,Bihar,ARARIA,Amgachhi BO,854332,Red Craft Events,"Makhana,Jute",Araria%Bihar,Rice,Winter,Winter,216846,854332,Rice,Summer,4005,,Wheat,Rabi,90522,224042
160,Madhusudan Pandey,2162401896,female,Federal Bank,Madhya Pradesh,UJJAIN,Bappiya B.O,456440,Issac Technologies Pvt Ltd,Batik print,Ujjain%Madhya Pradesh,Rice,Rabi,Rabi,15516,456440,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
161,Akhilesh Kumar Shukla,7719405413,female,HDFC Bank,Madhya Pradesh,UJJAIN,Aajmabad B.O,456441,JAGARAN MICROFIN PRIVATE LIMITED,Batik print,Ujjain%Madhya Pradesh,Rice,Rabi,Rabi,15516,456441,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
162,Pawan Mahato,3915398394,male,ICICI Bank,Madhya Pradesh,UJJAIN,Barkheda  Buzurg B.O,456443,JAKKUR TECHNOPARKS PRIVATE LIMITED,Batik print,Ujjain%Madhya Pradesh,Rice,Rabi,Rabi,15516,456443,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
163,Subhash Ojha,2991586065,female,South Indian Bank,Andhra Pradesh,Ananthapur,Bhadrapuram B.O,515641,JANAKALYAN FINANCIAL SERVICES PRIVATE LIMITED,"Cotton/Jean Pants,Dharmavaram Silk Sarees",Ananthpuram%Andhra Pradesh,Maize,Rabi,Rabi,47347,515641,Moong(Green Gram),Rabi,90246,1527,Onion,Rabi,90202,47964
164,Shankar Mukhi,3063053472,female,South Indian Bank,Kerala,THRISSUR,Andathode SO,679564,Janmadhaym,Coconut Products,Thrissur%Kerala,Coconut,Whole Year,Whole Year,485000000,679564,Rice,Summer,4005,,Wheat,Rabi,90522,224042
165,Kanhaiya Kumar,2350404963,female,South Indian Bank,Kerala,THRISSUR,INCHAMUDI BO,680564,JARVI AUTO LINK,Coconut Products,Thrissur%Kerala,Coconut,Whole Year,Whole Year,485000000,680564,Rice,Summer,4005,,Wheat,Rabi,90522,224042
166,Kashmim Ansari,5927171897,female,South Indian Bank,Kerala,KOTTAYAM,Arumanur BO,686564,JC Ventures,Rubber Products,Kottayam%Kerala,Coconut,Whole Year,Whole Year,140000000,686564,Rice,Summer,4005,,Wheat,Rabi,90522,224042
167,Neelima Namdeo Padole,8340403996,male,South Indian Bank,Kerala,THIRUVANANTHAPURAM,Aruvikara BO,695564,Joshi Biztech,Handloom Products,Thiruvananthapuram%Kerala,Coconut,Whole Year,Whole Year,665000000,695564,Rice,Summer,4005,,Wheat,Rabi,90522,224042
168,Chitresh Suyal,9897402072,male,RBL Bank,Assam,SIBSAGAR,Betbari B.O,785640,JOTHI CREDITS AND FINANCIAL SERVICES PRIVATE LIMITED,Rice & Rice Products,Sivasagar%Assam,Paddy,Winter,Winter,199785,785640,Rice,Winter,95674,199785,Rapeseed &Mustard,Rabi,1998,1126
169,Anurag Kumar Tripathi,1220923700,male,Jammu & Kashmir Bank,Jammu and Kashmir,Kargil,Akchamal B.O,194103,K H T AGENCIES PVT LTD,"Apricot,Tourism",Kargil%Ladakh,Potato,Kharif,Kharif,523.8,194103,Rice,Summer,4005,,Wheat,Rabi,90522,224042
170,Shah Alam .,5102527938,male,Bank of Baroda,Delhi,CENTRAL DELHI,Baroda House SO,110001,Kaabil Finance pvt. ltd,Delhi-6 Products including Tourism,Central%Delhi,Maize,Rabi,Rabi,47347,110001,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
171,Ratan Priya,7486039999,male,Bank of India,Haryana,FARIDABAD,Factory Area Faridabad SO,121001,Kaleidofin Private Limited,"Auto components,Machine Tools",Faridabad%Haryana,Maize,Rabi,Rabi,47347,121001,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
172,Preeti Titoriya,4507991819,male,Bank of Maharashtra,Haryana,ROHTAK,Bus Stand,124001,Kalyan Rural Empowerment Development,Fastners and Machine Tools,Rohtak%Haryana,Maize,Rabi,Rabi,47347,124001,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
173,Nazir Ali,4064485196,male,Canara Bank,Haryana,JIND,Budda Khera Lather B.O,126101,KAMAL Fincap Private Limited,"Poultry Feed,Engineering Goods",Jind%Haryana,Maize,Rabi,Rabi,47347,126101,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
