S.No,Name of BC,Contact Number,Gender,State,District ,Office Name,Pincode,Corporate BC name,ODOP product,CODE WORD OF PRODUCT LIST,CROP1 NAME,CROP1 SEASON,CROP1 PRODUCTION
125,Harkesh Yadav,1826789440,male,Rajasthan,KARAULI,Chainpura BO,322213,G U FINANCIAL SERVICES PRIVATE LIMITED,"Sandstone articles,Silica and Silica Sand",Karauli%Rajasthan,Rice,Rabi,15516
126,Sumit Chhabra,5019056777,male,Uttar Pradesh,JAUNPUR,Arand BO,222139,GANPATI FINANCIAL SERVICES,Woollen Carpets (Dari),Jaunpur%Uttar Pradesh,Wheat,Rabi,405486
127,Ashwani Kumar Singh,9331547805,female,Uttar Pradesh,JAUNPUR,Gopipur BO,222138,Genesis Academy of Banking and Finance Education Trust,Woollen Carpets (Dari),Jaunpur%Uttar Pradesh,Wheat,Rabi,405486
128,Chetna Gajanan Bokde,8868376617,female,Bihar,ROHTAS,Akorha BO,802213,GEOSANSAR ADIVSORS PRIVATE LIMITED,"Menthol,Sonachud Rice,Tomato",Rohtas%Bihar,Rice,Winter,820981
129,Subhash Kumar Yadav,2224656401,male,West Bengal,MURSHIDABAD,Barasimul BO,742213,GIONEX TECHNOLOGIES PRIVATE LIMITED,"Murshidabad Silk Saree/Scarf,Mango and its processed products",Murshidabad%West Bengal,Rice,Winter,686341
130,Sarvjeet Upadhyay,8271289926,female,West Bengal,BANKURA,Baidyalokhesole BO,722139,Global Vikas Trust,"Terracota,Dokra,Baluchari",Bankura%West Bengal,Rice,Winter,794716
131,Deepank Saini,2053415144,male,West Bengal,BANKURA,Ayma BO,722138,Go Processing Limited,"Terracota,Dokra,Baluchari",Bankura%West Bengal,Rice,Winter,794716
132,Ranvijay Singh,7636505545,male,West Bengal,BANKURA,Alijhara BO,722137,GODDARD technical solutions,"Terracota,Dokra,Baluchari",Bankura%West Bengal,Rice,Winter,794716
133,Jay Shankar Shukla,8296296988,male,West Bengal,BANKURA,Bagdiha BO,722136,GOPALGANJ PIONEER WELFARE SOCIETY,"Terracota,Dokra,Baluchari",Bankura%West Bengal,Rice,Winter,794716
134,Vinay Srivastava,6081277812,male,Bihar,BEGUSARAI,Ballia Bazar BO,851211,Gram Tarang Inclusive Development Services Pvt Ltd.,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,64159
135,Harvinder Singh,6620381050,male,Bihar,BEGUSARAI,Mahna SO,851210,Grameen Development & Finance Pvt. Ltd,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,64159
136,Nirbhay Kumar,3501132530,female,Bihar,Khagaria,Alauli S.O,851206,GRAMEEN SHAKTI MICROFINANCE SERVICES PVT. LTD.,"Banana,Bamboo Art,Maize",Khagaria%Bihar,Maize,Rabi,119465
137,Noor Saba,3695385649,female,Bihar,MADHUBANI,Awari BO,847308,Green Malabar Finance Ventures Limited,"Madhubhani Painting,Sikki Painting,Makhana",Madhubani%Bihar,Rice,Winter,188450
138,Anuradha Srivastava,8973068880,male,Bihar,DARBHANGA,Brahampur Sotia BO,847307,GRG ATM PVT LTD,"Makhana,Madhubhani Paintings,Terracotta",Darbhanga%Bihar,Wheat,Rabi,89175
139,Himanshu Srivastava,7853246106,female,Gujarat,AHMEDABAD,Krishnanagar SO Ahmedabad,382345,Gujarat Infotech Limited,"Garment & Apparel,Gamthi Block print/ Saudagiri Block Print,Terracotta,Mata ni Pachedi",Ahmedabad%Gujarat,Maize,Rabi,47347
140,Mukund Yadav,1249691856,female,Telangana,SANGAREDDY,Ananthavaram B.O,502345,HARISH PALIWAL,Engineering Products,Sangareddy%Telangana,Rice,Rabi,15516
141,Anuj Srivastava,7629746202,female,Uttar Pradesh,MAINPURI,Aghar BO,205262,Hermes I Tickets Pvt Ltd,Tarkashi Art,Mainpuri%Uttar Pradesh,Wheat,Rabi,349312
142,Ajay Aeron,1284343630,female,Uttar Pradesh,FATEHPUR,Ainjhi BO,212620,Humana Financial Services Private Limited,"Bedsheets,Iron Fabrication Work",Fatehpur%Uttar Pradesh,Wheat,Rabi,341436
143,Amit Srivastav,8828694322,male,Uttar Pradesh,FATEHPUR,Budhramau BO,212621,I Money Wallet Private Limited,"Bedsheets,Iron Fabrication Work",Fatehpur%Uttar Pradesh,Wheat,Rabi,341436
144,Monika Ram Hriday Yadav,3654961831,female,Uttar Pradesh,FATEHPUR,Aurai BO,212622,ICICI Merchant Services Pvt Ltd.,"Bedsheets,Iron Fabrication Work",Fatehpur%Uttar Pradesh,Wheat,Rabi,341436
145,Rakesh Kumar Kanojiya,5310468830,female,Uttar Pradesh,LUCKNOW,ASTI BO,226201,IDFC FIRST Bharat Limited,Chikankari & Zari Zardozi,Lucknow%Uttar Pradesh,Wheat,Rabi,144512
146,Shivangi Dubey,9817062807,female,Uttar Pradesh,LUCKNOW,FFTC INDAURABAGH SO,226202,IFMR Rural Channels and Services Pvt Ltd,Chikankari & Zari Zardozi,Lucknow%Uttar Pradesh,Wheat,Rabi,144512
147,Navaneet Kumar Singh,4726656922,female,Uttar Pradesh,KHERI,Abhayapur BO,262724,INDE PAY NETWORKS PVT LTD,"Tribal craft,Jaggery Products",Lakhimpur Kheri%Uttar Pradesh,Sugarcane,Kharif,17757963
148,Gurucharan Pradhan,4368447847,female,Uttar Pradesh,KHERI,Banika BO,262725,INDER MONEY SERVICES PRIVATE LIMITED,"Tribal craft,Jaggery Products",Lakhimpur Kheri%Uttar Pradesh,Sugarcane,Kharif,17757963
149,Shivam Sundram,6307368090,female,Uttar Pradesh,KHERI,Badagaon BO,262726,India Post Payments Bank,"Tribal craft,Jaggery Products",Lakhimpur Kheri%Uttar Pradesh,Sugarcane,Kharif,17757963
150,Shruti Sharma,2349632489,female,Uttar Pradesh,KHERI,Abgawan BO,262727,Indian Rural Area Implementation Services Private Limited,"Tribal craft,Jaggery Products",Lakhimpur Kheri%Uttar Pradesh,Sugarcane,Kharif,17757963
151,Kunal Singh,2251211606,male,Uttar Pradesh,KHERI,Atkohana BO,262728,Individual BC,"Tribal craft,Jaggery Products",Lakhimpur Kheri%Uttar Pradesh,Sugarcane,Kharif,17757963
152,Rakesh Kumar Gautam,7721232124,female,Uttar Pradesh,KHERI,Bankey Ganj SO,262801,INITIATIVES FOR DEVELOPMENT FOUNDAT,"Tribal craft,Jaggery Products",Lakhimpur Kheri%Uttar Pradesh,Sugarcane,Kharif,17757963
153,Vineet Kumar Chaubey,1697361983,male,Uttar Pradesh,KHERI,Ahemad Nagar BO,262802,InstantGlobalPaytechPrivateLimited,"Tribal craft,Jaggery Products",Lakhimpur Kheri%Uttar Pradesh,Sugarcane,Kharif,17757963
154,Devender Yadav,4983915796,male,Gujarat,AMRELI,Bordi BO,365640,INTERACT SOCIAL DEVELOPMENT FOUNDATION,"Ground nut/Peanut,Beadwork",Amreli%Gujarat,Maize,Rabi,47347
155,Neha Gajanan Raut,6340766036,female,Gujarat,AMRELI,Bhader SO,365645,IPS E-Services Pvt Ltd,"Ground nut/Peanut,Beadwork",Amreli%Gujarat,Maize,Rabi,47347
156,Akash Deep Singh,6336683305,female,Maharashtra,RATNAGIRI,Chinchavali B.O,415640,IRIX Technology Pvt Ltd,"Alphonso Mangoes,Marine Produce",Ratnagiri%Maharashtra,Rice,Kharif,220500
157,Jitendra Kumar Gupta,4154212249,male,Maharashtra,RATNAGIRI,Ambitgaon B.O,415641,iServeU,"Alphonso Mangoes,Marine Produce",Ratnagiri%Maharashtra,Rice,Kharif,220500
158,Mores Jayanti,1207680756,female,Maharashtra,RATNAGIRI,Argaon B.O,415643,ISERVEU TECHNOLOGY PVT LTD,"Alphonso Mangoes,Marine Produce",Ratnagiri%Maharashtra,Rice,Kharif,220500
159,Suneeta Jalal,1653098283,male,Bihar,ARARIA,Amgachhi BO,854332,Red Craft Events,"Makhana,Jute",Araria%Bihar,Rice,Winter,216846
160,Madhusudan Pandey,2162401896,female,Madhya Pradesh,UJJAIN,Bappiya B.O,456440,Issac Technologies Pvt Ltd,Batik print,Ujjain%Madhya Pradesh,Rice,Rabi,15516
161,Akhilesh Kumar Shukla,7719405413,female,Madhya Pradesh,UJJAIN,Aajmabad B.O,456441,JAGARAN MICROFIN PRIVATE LIMITED,Batik print,Ujjain%Madhya Pradesh,Rice,Rabi,15516
162,Pawan Mahato,3915398394,male,Madhya Pradesh,UJJAIN,Barkheda  Buzurg B.O,456443,JAKKUR TECHNOPARKS PRIVATE LIMITED,Batik print,Ujjain%Madhya Pradesh,Rice,Rabi,15516
163,Subhash Ojha,2991586065,female,Andhra Pradesh,Ananthapur,Bhadrapuram B.O,515641,JANAKALYAN FINANCIAL SERVICES PRIVATE LIMITED,"Cotton/Jean Pants,Dharmavaram Silk Sarees",Ananthpuram%Andhra Pradesh,Maize,Rabi,47347
164,Shankar Mukhi,3063053472,female,Kerala,THRISSUR,Andathode SO,679564,Janmadhaym,Coconut Products,Thrissur%Kerala,Coconut,Whole Year,485000000
165,Kanhaiya Kumar,2350404963,female,Kerala,THRISSUR,INCHAMUDI BO,680564,JARVI AUTO LINK,Coconut Products,Thrissur%Kerala,Coconut,Whole Year,485000000
166,Kashmim Ansari,5927171897,female,Kerala,KOTTAYAM,Arumanur BO,686564,JC Ventures,Rubber Products,Kottayam%Kerala,Coconut,Whole Year,140000000
167,Neelima Namdeo Padole,8340403996,male,Kerala,THIRUVANANTHAPURAM,Aruvikara BO,695564,Joshi Biztech,Handloom Products,Thiruvananthapuram%Kerala,Coconut,Whole Year,665000000
168,Chitresh Suyal,9897402072,male,Assam,SIBSAGAR,Betbari B.O,785640,JOTHI CREDITS AND FINANCIAL SERVICES PRIVATE LIMITED,Rice & Rice Products,Sivasagar%Assam,Paddy,Winter,199785
169,Anurag Kumar Tripathi,1220923700,male,Jammu and Kashmir,Kargil,Akchamal B.O,194103,K H T AGENCIES PVT LTD,"Apricot,Tourism",Kargil%Ladakh,Potato,Kharif,523.8
170,Shah Alam .,5102527938,male,Delhi,CENTRAL DELHI,Baroda House SO,110001,Kaabil Finance pvt. ltd,Delhi-6 Products including Tourism,Central%Delhi,Maize,Rabi,47347
171,Ratan Priya,7486039999,male,Haryana,FARIDABAD,Factory Area Faridabad SO,121001,Kaleidofin Private Limited,"Auto components,Machine Tools",Faridabad%Haryana,Maize,Rabi,47347
172,Preeti Titoriya,4507991819,male,Haryana,ROHTAK,Bus Stand,124001,Kalyan Rural Empowerment Development,Fastners and Machine Tools,Rohtak%Haryana,Maize,Rabi,47347
173,Nazir Ali,4064485196,male,Haryana,JIND,Budda Khera Lather B.O,126101,KAMAL Fincap Private Limited,"Poultry Feed,Engineering Goods",Jind%Haryana,Maize,Rabi,47347
174,Mukesh Gurudasji Kolhe,6125542643,male,Haryana,BHIWANI,Bhiwani HO,127021,KANHA INFOTECH AND INFRASTRUCTURE,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,47347
175,Nishigandha Balkrushna Nandanwar,2925399755,female,Gujarat,ARAVALLI,Ansol BO,383251,KAPOOR DIESELS GARAGE PRIVATE LIMITED,Agro Processing,Aravalli%Gujarat,Maize,Rabi,47347
176,Kalyani Amrutrao Gavande,3306621350,female,Haryana,SONIPAT,Atlas Cycle SO,131001,KEY TECHNOLOGIES,"Plastic moulded Products ( Electronic Toys),Food Processing,Stainless Steel Products",Sonipat%Haryana,Maize,Rabi,47347
177,Neha Ashok Singhaniya,6572255129,female,Uttar Pradesh,AURAIYA,Belhupur BO,206246,KIARA MICROCREDIT PRIVATE LIMITED,Food Processing (Desi Ghee),Auraiya%Uttar Pradesh,Wheat,Rabi,236332
178,Sudhanshu Shekhar Jha,2993538969,male,Haryana,KARNAL,Canal Colony B.O,132001,KOTTAKOTA BUSINESS DEVELOPMENT PRIVATE LIMITED,"Ayurvedic Products,Food Processing,Printing and Packaging",Karnal%Haryana,Maize,Rabi,47347
179,Rohit Kumar Pal,7011112600,male,Bihar,KISHANGANJ,Chanamana BO,855117,KT Telematic Solutions Pvt Ltd,"Tea,Pineapple,Dragon Fruit",Kishanganj%Bihar,Rice,Winter,184220
180,Deenanath Maurya,5702748836,female,Bihar,SUPAUL,Banailipatti BO,854340,Lahanti Last Mile Services Pvt. Ltd,"Lac Bangles,Makhana",Supaul%Bihar,Rice,Winter,149839
181,Sandeep Kumar Das,6259913505,male,Haryana,MAHENDRAGARH,Azamabad Mukhota BO,123001,LALIT MOHAN SINGH,Mustard Oil,Mahendragarh%Haryana,Maize,Rabi,47347
182,Krishan Kumar Rauth,1515291684,female,Bihar,KATIHAR,Dilli Diwanganj BO,854117,Laxmi India Finleasecap Private Limited,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,154124
183,Navindra Kumar,4561582188,female,Bihar,KATIHAR,Katihar Court SO,854109,Laxmi Samudayik Sahyog Samiti Rajgarh,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,154124
184,Sumit Kishor Kadam,5431768078,male,Haryana,AMBALA,Ambala G.P.O.,133001,LendingKart Finance Limited,"Scientific Equipments,Precision Engineering Products",Ambala%Haryana,Maize,Rabi,47347
185,Deepak Kumar Upadhyay,6797052461,female,Bihar,SUPAUL,Finglas BO,852111,Loanzen Finance Private Limited,"Lac Bangles,Makhana",Supaul%Bihar,Rice,Winter,149839
186,Prakash Singh,5108809718,male,Bihar,NAWADA,Akaunabazar BO,805123,LOVISH SETHI,"Magahi Paan/ Betel Vine,Handloom",Nawada%Bihar,Rice,Winter,236713
187,Shafikul Hasan,8730954713,male,Kerala,PATHANAMTHITTA,Kadambanad South SO,691553,LUPIN HUMAN WELFARE AND RESEARCH FOUNDATION FI,Food Products,Pathanamthitta%Kerala,Coconut,Whole Year,92000000
188,Yashraj Sanghare,8933134949,male,Haryana,HISAR,Gju Hisar SO,125001,M POWER MICROFINANCE Private Limited,"Steel Products,Agriculture Implements,Dairy products",Hisar%Haryana,Maize,Rabi,47347
189,Shishir Kumar Singh,4174429339,male,Uttar Pradesh,SONBHADRA,Banvasi Seva Ashram BO,231221,M S BALAJI TOLLS,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,117617
190,Shriya .,2113803314,male,Bihar,KHAGARIA,Borna BO,851202,M/s Desiderata Impact Ventures Pvt Ltd (Brand Name - Progcap),"Banana,Bamboo Art,Maize",Khagaria%Bihar,Maize,Rabi,119465
191,Madhuri Sharma,5382167824,male,Bihar,KHAGARIA,Amousi BO,851205,M/S INTEGRA MICRO SYSTEMS PVT LTD,"Banana,Bamboo Art,Maize",Khagaria%Bihar,Maize,Rabi,119465
192,Megha Singh,4578712552,female,Uttar Pradesh,BULANDSHAHR,AgSchool SO,203002,M/S New Street Technologies Private Limited,Ceramic Product,Bulandshahar%Uttar Pradesh,Wheat,Rabi,534072
193,Kamal  Bisht,6316489365,female,Uttar Pradesh,ALIGARH,Atrauli Ro RS BO,202282,M/s Senrysa Technologies Pvt. Ltd.,"Lock & Hardware,Metal Handicraft",Aligarh%Uttar Pradesh,Wheat,Rabi,546558
194,Amal Patra,1117688784,female,Delhi,CENTRAL DELHI,Rashtrapati Bhawan SO,110004,M/s Shiksha Financial Services India Private Limited,Delhi-6 Products including Tourism,Central%Delhi,Maize,Rabi,47347
195,Prajakta Vikas Nagwekar,4904332868,male,Haryana,FARIDABAD,Amarpur BO,121004,M/s Tekplay Systems Limited,"Auto components,Machine Tools",Faridabad%Haryana,Maize,Rabi,47347
196,Shveta Kumari,7615630037,female,Haryana,ROHTAK,Bahu Akbarpur BO,124022,M/s United Petro Finance Limited (Brand Name - Kapitaltech),Fastners and Machine Tools,Rohtak%Haryana,Maize,Rabi,47347
197,Navneet Singh,2735601454,male,Haryana,JIND,Alewa S.O,126111,M/s. ATOM Technologies Limited,"Poultry Feed,Engineering Goods",Jind%Haryana,Maize,Rabi,47347
198,Ujala Singh,5987630209,male,Haryana,BHIWANI,Atela Khurd BO,127026,M/s. Sarna Infocom Pvt. Ltd,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,47347
199,Saloni Kumari,4232874022,male,Tamil Nadu,VELLORE,Akkachikuppam BO,632510,M2P Solutions Private Limited,Leather Products,Vellore%Tamil Nadu,Rice,Rabi,15516
200,Kripendra Kumar Patel,5543387102,female,Haryana,SONIPAT,Aterna BO,131023,MAANYASRI FIN SERVE PRIVATE LIMITED,"Plastic moulded Products ( Electronic Toys),Food Processing,Stainless Steel Products",Sonipat%Haryana,Maize,Rabi,47347
201,Ajit Kumar Rawat,4373345829,female,Uttarakhand,PAURI GARHWAL,Bedgaon BO,246113,MAGALIR FINSERV PRIVATE LIMITED,Herbal Products,Pauri Garwal%Uttarakhand,Total foodgrain,Whole Year,104472
202,Ajay Kushwaha,3121787217,male,Haryana,KARNAL,Achhanpur B.O,132024,Magnot Consultancy Services Private Limited,"Ayurvedic Products,Food Processing,Printing and Packaging",Karnal%Haryana,Maize,Rabi,47347
203,Aman Mehra,4991347528,female,Bihar,KATIHAR,ARIHANA BO,855114,Mahamritunjay Trade & Technologies Pvt. Ltd.,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,154124
204,Neha Kashyap,3240133592,male,Bihar,PURNIA,Belwa BO,854337,MAHIMA AND CO,"Bamboo Art,Jute,Makhana",Purnea%Bihar,Rice,Winter,185906
205,Kiran Sharma,7061627737,male,Haryana,MAHENDRAGARH,Barda BO,123024,MALLARPUR NAISUVA,Mustard Oil,Mahendragarh%Haryana,Maize,Rabi,47347
206,Arjun Singh Lowanshi,4359034584,male,Bihar,KATIHAR,Bareta BO,854114,MANAPPURAM FINANCE LIMITED,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,154124
207,Ramesver Dayal,8657413448,male,Bihar,KATIHAR,B SIMARIA BO,854106,MANIPAL BUSINESS SOLUTIONS PVT LTD,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,154124
208,Avdhesh Kumar Monu,5135677954,female,Haryana,AMBALA,Ind estate S.O,133006,Manipal Technologies Limited,"Scientific Equipments,Precision Engineering Products",Ambala%Haryana,Maize,Rabi,47347
209,Shibu Kumari,2073412596,male,Bihar,SUPAUL,Amha BO,852108,Manoj Kumar,"Lac Bangles,Makhana",Supaul%Bihar,Rice,Winter,149839
210,Omkar Kumar,8052602100,male,Andhra Pradesh,Ananthapur,Bucherla B.O,515123,Mapra Advisors,"Cotton/Jean Pants,Dharmavaram Silk Sarees",Ananthpuram%Andhra Pradesh,Maize,Rabi,47347
211,Rakesh Chauhan,7465258345,female,Kerala,IDUKKI,Arnakal BO,685533,Margdarshak Financial Services Limited,Spices,Idukki%Kerala,Black pepper,Whole Year,23916
212,Raghav Malhotra,8195231122,female,Haryana,HISAR,Dahima BO,125006,Mattie Health care & Social welfare Institute,"Steel Products,Agriculture Implements,Dairy products",Hisar%Haryana,Maize,Rabi,47347
213,Preeti Rastogi,5794639048,female,Uttar Pradesh,SONBHADRA,Khajura BO,231218,MAXIMUS INFOWARE INDIA PVT LTD,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,117617
214,Rashid Qamar Shadab,3076929213,male,Bihar,BEGUSARAI,Binodpur BO,851134,MB UNIT OF SOCIO EQUALITY PVT LTD,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,64159
215,Priya Sobit,4509221821,male,Bihar,MADHUBANI,Barsam BO,847411,MBNK Phygital Financial Marketplace Pvt Ltd,"Madhubhani Painting,Sikki Painting,Makhana",Madhubani%Bihar,Rice,Winter,188450
216,Asha Kumari,2139319339,female,Jammu and Kashmir,BARAMULLA,Aloosa S.O,193505,MENTOR HOME LOANS INDIA LIMITED,Apples,Baramulla%Jammu & Kashmir,Maize,Kharif,29243
217,Ambika Prasad Pandey,8579079830,female,Haryana,Ambala,Majri S.O,133008,Micro Data Service Provider (P) Ltd,"Scientific Equipments,Precision Engineering Products",Ambala%Haryana,Maize,Rabi,47347
218,Abhishek Mishra,4282869400,male,Delhi,CENTRAL DELHI,Anand Parbat Indl Area SO,110005,Micro Enterprises & Sustainable Project,Delhi-6 Products including Tourism,Central%Delhi,Maize,Rabi,47347
219,Avinash Dubey,1855403457,male,Haryana,FARIDABAD,Faridabad Sector 22 SO,121005,MindsArray Network Pvt Ltd,"Auto components,Machine Tools",Faridabad%Haryana,Maize,Rabi,47347
220,Nitish Sharma,2862614556,female,Haryana,JHAJJAR,Birdhana BO,124102,Mintifi Finserve Ltd.,Footwear,Jhajjar%Haryana,Maize,Rabi,47347
221,Quazi Md Rashid,2034250776,female,Haryana,JIND,Anchra Kalan B.O,126112,Mobisafar Services Private Limited,"Poultry Feed,Engineering Goods",Jind%Haryana,Maize,Rabi,47347
222,Dinesh Prasad Gupta,9851466506,female,Haryana,BHIWANI,Chang SO,127027,Money on Mobile,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,47347
223,Jai Prakash,6595657747,male,Tamil Nadu,VELLORE,Ananthangal BO,632511,Moneyboxx Finance Limited,Leather Products,Vellore%Tamil Nadu,Rice,Rabi,15516
224,Nupur Biswas,1250282843,male,Haryana,SONIPAT,Bohla BO,131024,MOON LIGHT INFRA SERVICES,"Plastic moulded Products ( Electronic Toys),Food Processing,Stainless Steel Products",Sonipat%Haryana,Maize,Rabi,47347
225,Joti Kumari,9391785129,female,Uttarakhand,PAURI GARHWAL,Amola BO,246121,Mos Utility Pvt Ltd,Herbal Products,Pauri Garwal%Uttarakhand,Total foodgrain,Whole Year,104472
226,Satya Gurge,3612428795,female,Haryana,KARNAL,Bansa B.O,132036,MOVELL AUTO TECH,"Ayurvedic Products,Food Processing,Printing and Packaging",Karnal%Haryana,Maize,Rabi,47347
227,Shahadat .,6339765470,male,Bihar,KATIHAR,Azamnagar BO,855113,MPCON Ltd,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,154124
228,Priya Singh,7327460982,male,Bihar,ARARIA,Achra BO,854336,MULTINANCE INDIA,"Makhana,Jute",Araria%Bihar,Rice,Winter,216846
229,Anirudh Digvijay Singh,7820648055,female,Haryana,MAHENDRAGARH,Baghot BO,123027,MUTHOOT FINANCE LIMITED,Mustard Oil,Mahendragarh%Haryana,Maize,Rabi,47347
230,Priyanshi Jaiswal,6666149628,female,Bihar,KATIHAR,BNDIARA BO,854113,MV E COMMERCE SERVICES PVT LTD,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,154124
231,Sumit .,9182773067,male,Bihar,KATIHAR,Katihar Bara Bazar SO,854105,MyRoots Rural Business Centres Private Limited,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,154124
232,Akriti Rai,4231649555,male,Bihar,SAHARSA,Bishanpur BO,852107,NABADIGANTA SERVICE COOPERATIVE SOCIETY LTD,Makhana,Saharsa%Bihar,Rice,Winter,130436
233,Chandan Kumar Sinha,5452546692,female,Uttar Pradesh,JALAUN,Akorhi Dubey BO,285123,NAVACHETANA MICROFIN SERVICES PRIVATE LIMITED,Handmade Paper Art,Jalaun%Uttar Pradesh,Wheat,Rabi,206239
234,Vipul Mishra,1596220953,female,Kerala,IDUKKI,Kanayankavayal BO,685532,Navnit Chetana Mandal (NCM),Spices,Idukki%Kerala,Black pepper,Whole Year,23916
235,Niraj Kumar Baranawal,2209390253,male,Haryana,HISAR,Azad Nagar Hisar SO,125007,Nearby Technologies Pvt Ltd,"Steel Products,Agriculture Implements,Dairy products",Hisar%Haryana,Maize,Rabi,47347
236,Harsh Deo,1511748950,male,Uttar Pradesh,SONBHADRA,Belhatthi BO,231217,Neo Leaf  M/s BRICK EAGLE AFFORDABLE HOUSING FINANCE LIMITED,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,117617
237,Md. Aamir Khan,7208949364,female,Bihar,BEGUSARAI,Amjadpur Pidhauli BO,851133,New Opportunity Consultancy Private Limited,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,64159
238,Suneel Kumar Singh,8891077994,male,Bihar,MADHUBANI,Berma BO,847410,Next Vision,"Madhubhani Painting,Sikki Painting,Makhana",Madhubani%Bihar,Rice,Winter,188450
239,Shukla Sharmishtha Ramsatya,1878313156,female,Haryana,PANCHKULA,Chandi Mandir Cantt S.O,134107,NextRu Livelihoods Private Limited,"Automobile Parts,Pharmaceuticals",Panchkula%Haryana,Maize,Rabi,47347
240,Jyoti .,8740698499,female,Haryana,AMBALA,Defence Colony S.O,133010,Nextzen FI-Tech Privaye Ltd,"Scientific Equipments,Precision Engineering Products",Ambala%Haryana,Maize,Rabi,47347
241,Arvind Kumar Suman,3199346494,female,Delhi,NORTH DELHI,Delhi GPO,110006,NICT Technologies Pvt Ltd,Light engineering goods,North%Delhi,Maize,Rabi,47347
242,Rahul Kapoor,6333082559,male,Haryana,FARIDABAD,Faridabad Sector 7 SO,121006,Nineroot technologies,"Auto components,Machine Tools",Faridabad%Haryana,Maize,Rabi,47347
243,Ajay Pal,4864607097,male,Haryana,JHAJJAR,Court Complex Jhajjar SO,124103,Non Corporate Bc,Footwear,Jhajjar%Haryana,Maize,Rabi,47347
244,Nishant Chandrakant Admane,3946365492,male,Haryana,JIND,Assan B.O,126113,Novopay,"Poultry Feed,Engineering Goods",Jind%Haryana,Maize,Rabi,47347
245,Kumar Siddharth .,1690163548,male,Haryana,BHIWANI,Behl SO,127028,Novopay Solutions Private Limited,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,47347
246,Jabinder Kumar Thakur,2360472442,male,Tamil Nadu,VELLORE,Durgam BO,632512,Oasys Cybernectics Pvt Ltd,Leather Products,Vellore%Tamil Nadu,Rice,Rabi,15516
247,Savita Kumari,3783418597,female,Haryana,SONIPAT,Asadpur Nandnaur BO,131027,OASYS ONE STOP SOLUTION PRIVATE LIMITED,"Plastic moulded Products ( Electronic Toys),Food Processing,Stainless Steel Products",Sonipat%Haryana,Maize,Rabi,47347
248,Sujit Kumar Jha,2572120457,male,Uttarakhand,PAURI GARHWAL,Bajwar BO,246123,ODISHA,Herbal Products,Pauri Garwal%Uttarakhand,Total foodgrain,Whole Year,104472
249,Syed Mohammad Mubshshir,4566902607,male,Haryana,KARNAL,Bajida Jattan B.O,132037,ODISHA LIVELIHOODS MISSION NRUM,"Ayurvedic Products,Food Processing,Printing and Packaging",Karnal%Haryana,Maize,Rabi,47347
250,Rohit Dubey,5749264773,female,Bihar,KISHANGANJ,BBBHARATPUR BO,855108,ORANGE E SEVA PVT LTD,"Tea,Pineapple,Dragon Fruit",Kishanganj%Bihar,Rice,Winter,184220
251,Ritesh Kesarawani,4241252136,male,Bihar,ARARIA,Barhara BO,854335,ORIEL FINANCIAL SOLUTION PVT LTD,"Makhana,Jute",Araria%Bihar,Rice,Winter,216846
252,Nishant Shrivastav,9685515133,female,Haryana,MAHENDRAGARH,Bairawas BO,123028,ORIGO FINANCE PRIVATE LIMITED,Mustard Oil,Mahendragarh%Haryana,Maize,Rabi,47347
253,Kiran Ojha,3346198902,male,Bihar,KATIHAR,Amdabad SO,854112,Orocorp Technologies Private Limited,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,154124
